,Title,Link,Genre,Developer,Publisher,Release_JP,EU release,NA release,Plots
1333,Angelique Special 2,/wiki/Angelique_(video_game_series),Angelique Special 2,Koei,Koei,"April 11, 1997",Unreleased,Unreleased," The basic lore of the series is built around a Queen who fairly and wisely rules a Universe. By balancing elemental forces with the help of nine Guardians, she keeps the various planets in her domain stable and her people content. However, the powers of the Queen and the Guardians fade over time, and successors must be appointed. In the first game Angelique, the protagonist is a 17-year-old girl named Angelique Limoges who has been chosen by the current Queen and her aide Dia as one of two candidates from the Royal Smallney Girls' Academy to become the next Queen. She is transported to the Flying City to begin her final examination.  Each of the candidates is given a land to populate. Whoever finishes populating their land first wins and becomes the next Queen. It is done with the help of nine Guardians who use their powers to make the people of the candidate's land happy, or to devastate their rival's lands. Along the way, the candidates become friends with the Guardians and can fall in love. If they choose love, they forfeit their chance to become Queen, but will live happily ever after.  The story expands in later titles, but most entries in the series feature a girl named Angelique or a variant thereof (Enju or Ange) as the protagonist, with ever larger casts of characters. The roster of potential love interests swells to 19 characters in later titles (in Angelique Trois and Angelique Etoile).   Through the Angelique series games, the story begins with some crisis of the Universe, or some troubles in the Universe. To resolve a crisis or troubles, one girl is selected to become a savior of these crisis or troubles.  The player takes on the role of this girl. In the first game, Angelique, the player becomes a candidate for the new queen who will be the savior of the universal crisis. The player is asked to complete her mission or task during the course of the game. If the player completes her mission in the scheduled period, before her rival candidate completes the mission, the player will win and become the new queen.  But while trying to complete the given mission or task, the player necessarily needs some help from the nine guardians, who know and control the spiritual powers of the universe. The player needs to win their favor. If they do not favor a player, they will not provide assistance to that player. To win favor from the guardians, the player should properly work in her mission. Thus, the guardians may favor her.  And when the player wins favor of the guardians and the male characters, she will be able to better perform her task, and at the same time, she is capable of establishing romantic relations with some of the male characters. At this point, there are two options for her. Working best in her mission with the help of the guardians, she can defeat her rival, and become the new queen. The other option is for her to fall in love with one of her favourite male characters. If her love is fulfilled, her rival will become the new queen instead, but she may win the love.  These are two main types of endings to this game.  In the other games of this series, there is no rival, and the player should perform her mission alone. While trying to complete her mission or task, the same situations take place. To perform her task, the player needs the help of the guardians and other male characters, and she should win their favor. In this case, there are typically two endings, as in the first game:  There are many candidates for romance. Typically, the nine guardians are all possible targets of the player's love. There are at least ten main endings, but there are other endings as well, where the mission and/or the romance may be broken. The number of endings ranges between 10 and 30.  The most interesting and difficult points of this game series are that there are many combinations of how to win favor from the guardians and how to complete the task. Sometimes the former and the latter are contradictory, yet the player needs them both to achieve good endings.  "
1334,Angelique Tenkū no Requiem,/wiki/Angelique_(video_game_series),Angelique Tenkū no Requiem,Koei,Koei,"February 4, 1999",Unreleased,Unreleased," The basic lore of the series is built around a Queen who fairly and wisely rules a Universe. By balancing elemental forces with the help of nine Guardians, she keeps the various planets in her domain stable and her people content. However, the powers of the Queen and the Guardians fade over time, and successors must be appointed. In the first game Angelique, the protagonist is a 17-year-old girl named Angelique Limoges who has been chosen by the current Queen and her aide Dia as one of two candidates from the Royal Smallney Girls' Academy to become the next Queen. She is transported to the Flying City to begin her final examination.  Each of the candidates is given a land to populate. Whoever finishes populating their land first wins and becomes the next Queen. It is done with the help of nine Guardians who use their powers to make the people of the candidate's land happy, or to devastate their rival's lands. Along the way, the candidates become friends with the Guardians and can fall in love. If they choose love, they forfeit their chance to become Queen, but will live happily ever after.  The story expands in later titles, but most entries in the series feature a girl named Angelique or a variant thereof (Enju or Ange) as the protagonist, with ever larger casts of characters. The roster of potential love interests swells to 19 characters in later titles (in Angelique Trois and Angelique Etoile).   Through the Angelique series games, the story begins with some crisis of the Universe, or some troubles in the Universe. To resolve a crisis or troubles, one girl is selected to become a savior of these crisis or troubles.  The player takes on the role of this girl. In the first game, Angelique, the player becomes a candidate for the new queen who will be the savior of the universal crisis. The player is asked to complete her mission or task during the course of the game. If the player completes her mission in the scheduled period, before her rival candidate completes the mission, the player will win and become the new queen.  But while trying to complete the given mission or task, the player necessarily needs some help from the nine guardians, who know and control the spiritual powers of the universe. The player needs to win their favor. If they do not favor a player, they will not provide assistance to that player. To win favor from the guardians, the player should properly work in her mission. Thus, the guardians may favor her.  And when the player wins favor of the guardians and the male characters, she will be able to better perform her task, and at the same time, she is capable of establishing romantic relations with some of the male characters. At this point, there are two options for her. Working best in her mission with the help of the guardians, she can defeat her rival, and become the new queen. The other option is for her to fall in love with one of her favourite male characters. If her love is fulfilled, her rival will become the new queen instead, but she may win the love.  These are two main types of endings to this game.  In the other games of this series, there is no rival, and the player should perform her mission alone. While trying to complete her mission or task, the same situations take place. To perform her task, the player needs the help of the guardians and other male characters, and she should win their favor. In this case, there are typically two endings, as in the first game:  There are many candidates for romance. Typically, the nine guardians are all possible targets of the player's love. There are at least ten main endings, but there are other endings as well, where the mission and/or the romance may be broken. The number of endings ranges between 10 and 30.  The most interesting and difficult points of this game series are that there are many combinations of how to win favor from the guardians and how to complete the task. Sometimes the former and the latter are contradictory, yet the player needs them both to achieve good endings.  "
1337,Animetic Story Game 1 Cardcaptor Sakura,/wiki/List_of_Cardcaptor_Sakura_video_games,Animetic Story Game 1 Cardcaptor Sakura,Arika,Arika,"August 5, 1999",Unreleased,Unreleased," Cardcaptor Sakura takes place in the fictional town of Tomoeda, which is located somewhere near the Japanese capital of Tokyo. Ten-year-old Sakura Kinomoto accidentally releases a set of magical cards known as Clow Cards from a book in her basement created by and named after the sorcerer Clow Reed. Each card has its own unique ability and can assume an alternate form when activated. The guardian of the cards, Cerberus (nicknamed Kero), emerges from the book and explains that only a person with magical powers could open the seal of the book, revealing that Sakura can do magic. Kero chooses Sakura to retrieve the missing cards. As she finds each card, she battles its magical personification and defeats it by sealing it away. Cerberus acts as her guide, while her best friend and second cousin, Tomoyo Daidouji films her exploits and provides her with both battle costumes and moral support. Sakura's older brother Toya Kinomoto watches over her, while pretending that he is unaware of what is going on.  Syaoran Li, a boy Sakura's age and a descendant of Clow Reed, arrives from Hong Kong to recapture the cards himself. While initially antagonistic, he comes to respect Sakura and begins aiding her in capturing the cards. Once Sakura captures all of the cards, she is tested by Yue, the cards' second guardian, to determine if she is worthy of becoming the cards' true master; Yue is also the true form of Yukito Tsukishiro, Toya's best friend who Sakura has a crush on. Aided by her school teacher Kaho Mizuki, Sakura passes the test and becomes the new master of the Clow Cards.  Afterwards, Eriol Hiiragizawa, a transfer student from England and later confirmed as the reincarnation of Clow Reed, arrives in Tomoeda and begins causing disturbances with two guardian-like creatures, Spinel Sun and Ruby Moon. Sakura is suddenly unable to use the Clow Cards and transforms her wand, beginning the process of evolving the cards into Sakura Cards as Eriol causes strange occurrences that forces her to use and thus transform certain cards. Once all the cards have been transformed, Eriol tells Sakura that he aided her in converting the cards so they would not lose their magic powers. Syaoran later confesses his love to Sakura, who comes to realize she also loves him. Cardcaptor Sakura concludes with Syaoran returning to Hong Kong with a promise to return. Two years later, Syaoran moves back to Tomoeda permanently.  The plot of the anime series is extended, featuring 52 Clow Cards from the manga's original 19, and certain scenes are stretched and delayed, such as Cerberus' true form not being revealed until just before Yue's appearance. Sakura creates a 53rd card, Hope, a talent she is not shown to have in the manga. Some of the circumstances around the capturing of the cards is changed, such as Syaoran capturing several cards himself and being tested by Yue in the Final Judgment. Syaoran's cousin and fiancée Meiling Li is introduced in the anime, who positions herself as a jealous and romantic rival for Sakura later in the series and also a friend until she returns to Hong Kong. The TV series leaves the relationship between Sakura and Syaoran unresolved, but Sakura confesses her love to Syaoran at the end of the second anime film. In the OVA that bridges the stories of the original series and the Clear Card anime, Syaoran returns to Tomoeda two years later, just like in the manga.  "
1339,Another Mind,/wiki/Another_Mind_(video_game),Another Mind,Squaresoft,Squaresoft,"November 12, 1998",Unreleased,Unreleased," Another Mind is primarily shown through a series of still photographs with text overlays advancing the story. The characters are represented by photographs of real actors, which are displayed whenever that character is speaking. Rarely a cutscene is used, featuring a movie of the actors interacting; the game uses the actors' real voices during these scenes, a rarity for the time. The player represents ""another mind"" residing in the head of the main protagonist, and can only control the game through speaking to the girl. The player does this by constructing their own sentences out of context-sensitive parts of speech provided by the game, rather than selecting from pre-made options.  The game is divided into ten chapters, each taking several hours to complete. There are multiple endings to the game, the majority of which are early, ""bad"" ends. There are two main endings to the game, as well as a third that can only be reached by playing through the game for a second time. During the game, the actions of the main character as guided by the player changes the course of the story and the relationships between her and the other characters.   A 16-year-old girl named Hitomi Hayama is involved in a car accident and admitted to a hospital. Upon waking, she realizes that another mind has taken residence in her head. The player takes on the role of this separate consciousness. The pair are then put into the middle of a mystery that begins at the hospital, which includes a murder, several suicide attempts, and a bombing attempt. Hitomi frequently communicates back with the player, and the player must convince her to perform actions rather than commanding.  "
1340,Ao no Roku-gō,/wiki/Blue_Submarine_No._6,Ao no Roku-gō,Bandai,Bandai,"September 28, 2000",Unreleased,Unreleased," The story is set in the distant future, when the Earth's oceans have risen and flooded most of the sea-lying land on Earth.  The rogue scientist Zorndyke caused the flooding, which killed countless individuals, and most of humanity's remaining cities have been attacked or destroyed by Zorndyke's army of half-animal ""hybrids"". The remaining humans begin to wage war against Zorndyke's seagoing creations for survival. Humanity's best hope for a resolution to the conflict lies with its submarine forces, among which is the focus of the story, Blue Submarine #6. It is revealed that Zorndyke is attempting to decisively end the conflict in the favor of his hybrid children by artificially inducing a polar switch using geothermal energy at the South Pole.  "
1342,Ape Escape,/wiki/Ape_Escape_(video_game),Ape Escape,Sony Computer Entertainment Inc.,Sony Computer Entertainment Inc.,"June 25, 1999","July 2, 1999","May 31, 1999"," Ape Escape is a platform game that is viewed from a third-person perspective. Players traverse several different environments to advance through the game. For most of the game, players control Spike—a boy tasked with pursuing and capturing the apes across time, preventing them from rewriting history.: 2  Players use various gadgets to pursue and capture the apes, such as the Stun Club, used as an offensive measure against enemies, and the Time Net, used to capture apes and transport them to present day.: 6–7, 14–15  More gadgets become available as players progress through the game.: 6–7, 16  Players also control vehicles throughout the game, including a rubber raft, which allows travel over water, and the water net, which assists in traversing underwater.: 14–15  The game's controls are heavily centered around the analog sticks: the left stick is used to move players, while the right stick manipulates the various gadgets.: 4–5, 9   The apes are equipped with helmets, which feature a siren representing their alarm level: blue means relaxed, and unaware of the player characters' presence; yellow is alert; and red indicates fully alarmed, resulting in attempting to escape or becoming hostile. An ape's personality can also be determined by the colour of shorts: yellow is standard, light blue means timid, and red represents aggressive. Some apes are equipped with weaponry, allowing them to attack players, or binoculars that allow them to identify players from long distances. Players are required to capture a specific number of apes to clear a level; remaining apes can be captured upon revisiting the level.: 6–8   Should players take damage, they lose a life. Players can recharge their health by collecting cookies.: 8  Throughout the game, players can gather Specter Coins, which can be found in hidden locations in each stage.: 12  Collecting enough Specter Coins unlocks three bonus mini-games: Ski Kidz Racing, a skiing game in which players race against opponents; Galaxy Monkey, a shoot 'em up where players fight against aliens; and Specter Boxing, a boxing game where players dodge and punch using the analog sticks.: 16    The story begins when Specter, a white-haired monkey who is well known at his home in a monkey-themed amusement park, puts on a Monkey/Peak Point Helmet created by a Professor, which increases his intelligence beyond that of a regular monkey but, due to it being a prototype version, also twists his mind, turning him evil. Imbued with this new power, Specter gives Monkey Helmets to all the monkeys in the park and sets them loose, having them take over the local laboratory where the Professor and his assistant Natalie (Katie/Natsumi) are currently building a time machine. As Spike (Kakeru) and his best friend Jake (Buzz/Hiroki) arrive at the laboratory, they find themselves transported by Specter, along with all the other monkeys, to the various reaches of time. Realizing that leaving the monkeys to their own devices could rewrite history in disastrous ways, the Professor tasks Spike with finding all of the monkeys scattered across time and sending them back to the present.  Spike must also face off against Specter, who has not only built himself an advanced Monkey Helmet further increasing his own intelligence but has also brainwashed Jake to his side. After a lengthy series of captures and battles in segments of history ranging from the age of the dinosaurs, medieval times, and the present day, Spike is eventually able to capture all of the apes. Spike chases Specter to his deranged theme park, where he is holding a recently captured Professor, Natalie, and his friend Jake. Spike frees Jake of his mind control, and releases both the professor and Natalie, and goes on to find Specter in an alternative universe he calls the ""Peak Point Matrix"". Spike defeats Specter after a final battle, and he is captured and sent back to the zoo.  "
1343,Apocalypse,/wiki/Apocalypse_(video_game),Apocalypse,Neversoft,Activision,"September 22, 1999",November 1998,"November 18, 1998"," A brilliant evil scientist named ""The Reverend"" has created a powerful theocracy based on the idea of a rapidly approaching apocalypse. He uses his expertise to create four powerful sentinoids modeled after the ""Horsemen of Apocalypse"" as well as ""The Beast of Revelation"" , War, Plague, Beast and Death, in order to ensure this comes to pass. His former colleague, Trey Kincaid (voiced by Bruce Willis), is the only man with the know-how to stop the Reverend, but is locked up in jail and must escape in order to save the world.   Apocalypse is a 3D multidirectional shooter. The character is moved using the DualShock controller's left analog stick, and shooting is handled independently by pressing the right stick in a given direction, which automatically fires the current weapon in said direction. Alternately, movement may be controlled through the directional pad and shooting performed by using the four face buttons on a typical PlayStation controller (which lack analog sticks), where the buttons' placement on the controller correspond with the fire direction. Using the shoulder buttons it is also possible to duck or jump, and a selection of different weapons are available.  "
1344,Aqua GT,/wiki/Aqua_GT,Aqua GT,East Point Software,Take 2 Interactive,Unreleased,"January 26, 2001",Unreleased," The game sees players racing one of 20 boats through rivers in several major European cities including the Thames and the Seine. Tracks are playable with day and night-time settings, and at high and low tides which alters the difficulty. The game offers three modes: Championship, Arcade and Two-Player (split-screen).  "
1345,Aquanaut's Holiday,/wiki/Aquanaut%27s_Holiday,Aquanaut's Holiday,Artdink,Artdink,"June 30, 1995",October 1995,"November 21, 1996"," in Aquanaut's Holiday takes place in a first-person perspective and consists primarily of the player exploring vast stretches of ocean, occasionally discovering underwater ruins or treasure, or communicating with underwater creatures. The game has no time limits, enemies, or other obstacles. The game's objective, aside from exploring, is to build a large coral reef to attract a wide variety of fish and other marine wildlife.  "
1346,Aquanaut no Kyuujitsu Memories of Summer 1996,/wiki/Aquanaut%27s_Holiday,Aquanaut no Kyuujitsu Memories of Summer 1996,Artdink,Artdink,"July 19, 1996",Unreleased,Unreleased," in Aquanaut's Holiday takes place in a first-person perspective and consists primarily of the player exploring vast stretches of ocean, occasionally discovering underwater ruins or treasure, or communicating with underwater creatures. The game has no time limits, enemies, or other obstacles. The game's objective, aside from exploring, is to build a large coral reef to attract a wide variety of fish and other marine wildlife.  "
1347,Aquanaut no Kyuujitsu 2,/wiki/Aquanaut%27s_Holiday,Aquanaut no Kyuujitsu 2,Artdink,Artdink,"July 1, 1999",Unreleased,Unreleased," in Aquanaut's Holiday takes place in a first-person perspective and consists primarily of the player exploring vast stretches of ocean, occasionally discovering underwater ruins or treasure, or communicating with underwater creatures. The game has no time limits, enemies, or other obstacles. The game's objective, aside from exploring, is to build a large coral reef to attract a wide variety of fish and other marine wildlife.  "
1348,Arc the Lad,/wiki/Arc_the_Lad_(video_game),Arc the Lad,SCEI,SCEI/,"June 30, 1995",Unreleased,Unreleased," Arc the Lad is a tactical RPG. In battle, the player has an area where each character may move, much like Final Fantasy Tactics or Tactics Ogre. The areas the player can move are marked by blue tiles, and when using a melee attack on an enemy, the player can attack an enemy at any side the player can reach, and a cursor will be above the enemy to let the player know that he can attack the enemy. If the player uses magic or special abilities to attack the enemy, there will be a red set of tiles that show the player the range in which the spell or attack will reach. Unlike Final Fantasy Tactics, Arc the Lad is not isometric, therefore all tiles are the same size and shape.  Outside of battle, the character must select given areas on a map to access them. For example, to reach a battlefield, dungeon, or castle, the player will be given a general world map, to which the player will select a continent, then a map of the continent will be displayed. The player then must select a highlighted area to enter it. The game will always prompt the player to save once the player has selected an area to go to. Virtually no towns can be selected in this game. Only dungeons, small areas, and fields may be selected.  Once a player has selected an area, depending on the area chosen, the character may have the ability to explore the entire area. Many areas, however, do not allow for such freedom. Often the player will select an area and this may trigger an event, such as dialogue or battles. Because of this, most of the plot is given through dialogue during events as there are very few non-playable characters, or NPCs, to give information on where the player must go to.  At the end of the game, the player can save after beating the final boss. This save data is actually cleared save game data that they can use to transport to a new game in Arc the Lad II. All their characters' stats and attributes and items will be transferred over to Arc  the Lad II.  and setting  "
1349,Arc the Lad II,/wiki/Arc_the_Lad_II,Arc the Lad II,ARC Entertainment,SCEI,"November 1, 1996",Unreleased,Unreleased," Unlike the original game, the countries of the world can be viewed in detail on a bird's eye scale. Most travel is initially restricted to the game's plot, but players eventually gain global access by airship, either by the Hein or the Silver Noah. Players are no longer under restricted turn-based movement while going through dungeon/field areas. The battles vary from random encounters to automatic entries to a section.  Just as in the first game, the characters do battle against monsters and enemies in strategy-based combat. However, rather than fighting with every party member in each battle, the player now has to select between 1 and 6 characters per battle, depending on the battle's requirements. The player can recruit monsters into the party with the option of upgrading them and other characters at a later time.  In most cities in Arc the Lad II, there are hunter guilds where the player can take on local jobs. These jobs include fetch quests, monster hunting and deliveries. Most jobs include a degree of battle. Also in the guilds are bulletins about rare marked monsters that can be found in certain dungeon/field areas. Some jobs only become available after completing related jobs or certain plot points.  "
